Electrode,x,y,z
Fp1,-27.03339346,83.20022999,-3.054935226
AF7,-5.14E+01,70.7743429,-3.054935226
AF3,-3.56E+01,76.26059526,24.1279774
F1,-2.51E+01,62.17312108,56.26655674
F3,-4.77E+01,58.91366875,43.76761149
F5,-6.38E+01,55.47145243,22.65578282
F7,-70.7743429,51.42057001,-3.054935226
FT7,-83.20022999,27.03339346,-3.054935226
FC5,-77.72145201,29.83447018,27.04987151
FC3,-59.20682001,31.48082462,56.26655674
FC1,-32.80028009,32.80028009,74.23407919
C1,-34.20273646,0,80.5765976
C3,-62.96756982,0,60.80707535
C5,-81.7211708,0,31.36981837
T7 ,-87.48189889,0,-3.054935226
TP7,-8.32E+01,-27.03339346,-3.054935226
CP5,-7.77E+01,-29.83447018,27.04987151
CP3,-5.92E+01,-31.48082462,56.26655674
CP1,-3.28E+01,-32.80028009,74.23407919
P1,-2.51E+01,-62.17312108,56.26655674
P3,-4.77E+01,-58.91366875,43.76761149
P5,-6.38E+01,-55.47145243,22.65578282
P7,-7.08E+01,-51.42057001,-3.054935226
P9,-64.1824363,-46.63126952,-36.99398378
PO7,-51.42057001,-70.7743429,-3.054935226
PO3,-35.56089958,-76.26059526,24.1279774
O1,-27.03339346,-83.20022999,-3.054935226
Iz ,4.85979E-15,-79.33385423,-36.99398378
Oz,5.35892E-15,-87.48189889,-3.054935226
POz,5.00603E-15,-81.7211708,31.36981837
Pz,3.85723E-15,-62.96756982,60.80707535
CPz,2.09517E-15,-34.20273646,80.5765976
Fpz,5.35892E-15,87.48189889,-3.054935226
Fp2,27.03339346,83.20022999,-3.054935226
AF8,51.42057001,70.7743429,-3.054935226
AF4,35.56089958,76.26059526,24.1279774
Afz,5.00603E-15,81.7211708,31.36981837
Fz,3.85723E-15,62.96756982,60.80707535
F2,25.11957146,62.17312108,56.26655674
F4,47.70734829,58.91366875,43.76761149
F6,63.81260638,55.47145243,22.65578282
F8,70.7743429,51.42057001,-3.054935226
FT8,83.20022999,27.03339346,-3.054935226
FC6,77.72145201,29.83447018,27.04987151
FC4,59.20682001,31.48082462,56.26655674
FC2,32.80028009,32.80028009,74.23407919
FCz,2.09517E-15,34.20273646,80.5765976
Cz,0,0,87.53522298
C2,34.20273646,0,80.5765976
C4,62.96756982,0,60.80707535
C6,81.7211708,0,31.36981837
T8,87.48189889,0,-3.054935226
TP8,83.20022999,-27.03339346,-3.054935226
CP6,77.72145201,-29.83447018,27.04987151
CP4,59.20682001,-31.48082462,56.26655674
CP2,32.80028009,-32.80028009,74.23407919
P2,25.11957146,-62.17312108,56.26655674
P4,47.70734829,-58.91366875,43.76761149
P6,63.81260638,-55.47145243,22.65578282
P8,70.7743429,-51.42057001,-3.054935226
P10,64.1824363,-46.63126952,-36.99398378
PO8,51.42057001,-70.7743429,-3.054935226
PO4,35.56089958,-76.26059526,24.1279774
O2,27.03339346,-83.20022999,-3.054935226
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,